Project,Species,Run,Recovery Year,RETURN_SITE_CODE,Return Site,CU Index,CU Name,Composite Type,Composite Descr,Sex/Maturity,Total Count,Total Examined,Expanded Enh,Enh Contr %
Nitinat R,Chum,Fall,1990,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,500,0,351.692,70.338
Nitinat R,Chum,Fall,1990,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,228878,0,160990.001,70.339
Nitinat R,Chum,Fall,1990,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z3,Total Adults,13830,0,10009.979,72.379
Nitinat R,Chum,Fall,1990,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z2,Total Adults,1057,1057,263.987,24.975
Nitinat R,Chum,Fall,1990,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,30229,28237,27875.728,92.215
Nitinat R,Chum,Fall,1991,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,10957,10957,6164.123,56.257
Nitinat R,Chum,Fall,1991,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B2,Total Adults,12524,12524,3861.528,30.833
Nitinat R,Chum,Fall,1991,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B3,Total Adults,4375,4375,2046.618,46.78
Nitinat R,Chum,Fall,1991,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,1500,0,622.922,41.528
Nitinat R,Chum,Fall,1991,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,350000,0,107915.65,30.833
Nitinat R,Chum,Fall,1991,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z2,Total Adults,71244,10966,33327.809,46.78
Nitinat R,Chum,Fall,1991,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,8093,6939,4552.911,56.257
Nitinat R,Chum,Fall,1992,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,18364,18364,9028.31,49.163
Nitinat R,Chum,Fall,1992,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B2,Total Adults,10986,10986,1808.021,16.458
Nitinat R,Chum,Fall,1992,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,150000,0,24686.254,16.458
Nitinat R,Chum,Fall,1992,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,7988,7988,3927.143,49.163
Nitinat R,Chum,Fall,1992,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z2,Total Adults,10000,0,1645.749,16.457
Nitinat R,Chum,Fall,1992,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z3,Total Adults,22601,4166,3719.559,16.457
Nitinat R,Chum,Fall,1993,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,28249,28249,14873.836,52.653
Nitinat R,Chum,Fall,1993,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,33657,0,17721.287,52.653
Nitinat R,Chum,Fall,1993,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N2,Total Adults,242000,0,127419.358,52.653
Nitinat R,Chum,Fall,1993,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,154543,58194,81370.946,52.653
Nitinat R,Chum,Fall,1994,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,23860,23860,10793.826,45.238
Nitinat R,Chum,Fall,1994,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,15407,0,6969.843,45.238
Nitinat R,Chum,Fall,1994,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,160000,0,42576.72,26.61
Nitinat R,Chum,Fall,1994,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,135962,43479,61506.749,45.238
Nitinat R,Chum,Fall,1995,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,4125,4125,3008.644,72.937
Nitinat R,Chum,Fall,1995,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B2,Total Adults,14772,14772,2605.29,17.637
Nitinat R,Chum,Fall,1995,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,5000,0,680.33,13.607
Nitinat R,Chum,Fall,1995,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,119319,0,21043.931,17.637
Nitinat R,Chum,Fall,1995,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z2,Total Adults,7876,7876,1071.657,13.607
Nitinat R,Chum,Fall,1995,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z3,Total Adults,4162,4162,734.033,17.637
Nitinat R,Chum,Fall,1995,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,4746,4746,3461.58,72.937
Nitinat R,Chum,Fall,1996,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B2,Total Adults,8410,8410,2819.693,33.528
Nitinat R,Chum,Fall,1996,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,13952,13952,8428.995,60.414
Nitinat R,Chum,Fall,1996,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,1200,0,402.331,33.528
Nitinat R,Chum,Fall,1996,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Rack,S1,Total Adults,2150,2150,720.847,33.528
Nitinat R,Chum,Fall,1996,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,330000,0,105256.322,31.896
Nitinat R,Chum,Fall,1996,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,42979,34346,25965.443,60.414
Nitinat R,Chum,Fall,1996,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z2,Total Adults,36475,0,12229.293,33.528
Nitinat R,Chum,Fall,1996,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z3,Total Adults,100204,33284,33596.274,33.528
Nitinat R,Chum,Fall,1997,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,19957,19957,15724.565,78.792
Nitinat R,Chum,Fall,1997,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,H3,Total Adults,22500,0,13003.207,57.792
Nitinat R,Chum,Fall,1997,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B2,Total Adults,3589,3589,2074.153,57.792
Nitinat R,Chum,Fall,1997,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,17067,0,9863.365,57.792
Nitinat R,Chum,Fall,1997,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Rack,S1,Total Adults,2648,2648,2086.418,78.792
Nitinat R,Chum,Fall,1997,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,438442,0,248213.281,56.613
Nitinat R,Chum,Fall,1997,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,27369,27369,21564.645,78.792
Nitinat R,Chum,Fall,1997,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z2,Total Adults,156828,21374,90634.096,57.792
Nitinat R,Chum,Fall,1998,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B2,Total Adults,2565,2565,1099.278,42.857
Nitinat R,Chum,Fall,1998,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,H1,Total Adults,25575,25575,20012.586,78.251
Nitinat R,Chum,Fall,1998,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,42073,0,14826.298,35.239
Nitinat R,Chum,Fall,1998,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Rack,S1,Total Adults,1008,1008,788.763,78.25
Nitinat R,Chum,Fall,1998,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,183545,0,70679.237,38.508
Nitinat R,Chum,Fall,1998,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,26619,0,20829.523,78.251
Nitinat R,Chum,Fall,1998,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z2,Total Adults,251613,27672,107833.571,42.857
Nitinat R,Chum,Fall,1999,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,15875,15875,10015.574,63.09
Nitinat R,Chum,Fall,1999,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,12085,0,7624.454,63.09
Nitinat R,Chum,Fall,1999,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Rack,S1,Total Adults,1100,1100,693.989,63.09
Nitinat R,Chum,Fall,1999,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,126681,0,79923.353,63.09
Nitinat R,Chum,Fall,1999,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,59970,12394,37835.219,63.09
Nitinat R,Chum,Fall,2000,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,5116,5116,4060.184,79.362
Nitinat R,Chum,Fall,2000,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,707,0,300.929,42.564
Nitinat R,Chum,Fall,2000,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,20838,0,7988.75,38.337
Nitinat R,Chum,Fall,2000,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,4772,3147,3787.178,79.362
Nitinat R,Chum,Fall,2001,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B1,Total Adults,27104,27104,31081.154,114.674
Nitinat R,Chum,Fall,2001,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Broodstock,B2,Total Adults,9769,9769,6368.565,65.192
Nitinat R,Chum,Fall,2001,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Harvest,I1,Total Adults,25477,0,16608.862,65.192
Nitinat R,Chum,Fall,2001,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,First Nations Rack,S1,Total Adults,1050,1050,1204.072,114.674
Nitinat R,Chum,Fall,2001,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,River,N1,Total Adults,300000,0,166196.582,55.399
Nitinat R,Chum,Fall,2001,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z1,Total Adults,28747,1446,32965.245,114.674
Nitinat R,Chum,Fall,2001,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Tendered Sale,Z2,Total Adults,53773,10279,35055.479,65.192
Nitinat R,Chum,Fall,2001,114,Nitinat R,CM-10,SOUTHWEST VANCOUVER ISLAND,Terminal Other,T1,Total Adults,100,100,65.191,65.191
Pallant Cr,Chum,Fall,1990,148,Pallant Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,30458,4621,7509.032,24.654
Pallant Cr,Chum,Fall,1990,149,Mathers Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,6261,4096,3658.735,58.437
Pallant Cr,Chum,Fall,1990,148,Pallant Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,7439,7439,1833.982,24.654
Pallant Cr,Chum,Fall,1990,149,Mathers Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,3322,3322,1941.277,58.437
Pallant Cr,Chum,Fall,1991,148,Pallant Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,27873,8453,16834.844,60.398
Pallant Cr,Chum,Fall,1991,148,Pallant Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,9731,9731,5877.363,60.398
Pallant Cr,Chum,Fall,1991,149,Mathers Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,925,925,810.446,87.616
Pallant Cr,Chum,Fall,1991,149,Mathers Cr,CM-21,EAST HG,River,N1,Total Adults,1381,946,1209.973,87.616
Pallant Cr,Chum,Fall,1992,149,Mathers Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,2960,2618,1779.152,60.106
Pallant Cr,Chum,Fall,1992,148,Pallant Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,28429,2049,24244.115,85.28
Pallant Cr,Chum,Fall,1992,148,Pallant Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,8918,8918,7605.224,85.279
Pallant Cr,Chum,Fall,1992,149,Mathers Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,2632,2632,1582.003,60.106
Pallant Cr,Chum,Fall,1993,148,Pallant Cr,CM-21,EAST HG,Above & Below Fence,N1,Total Adults,29023,8511,15339.327,52.852
Pallant Cr,Chum,Fall,1993,149,Mathers Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,14892,14782,5590.246,37.539
Pallant Cr,Chum,Fall,1993,149,Mathers Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,4241,4241,1592.012,37.539
Pallant Cr,Chum,Fall,1993,148,Pallant Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,9136,9136,4828.586,52.852
Pallant Cr,Chum,Fall,1994,148,Pallant Cr,CM-21,EAST HG,Above & Below Fence,N1,Total Adults,28953,5399,19820.37,68.457
