Project,Species,Run,Recovery Year,RETURN_SITE_CODE,Return Site,CU Index,CU Name,Composite Type,Composite Descr,Sex/Maturity,Total Count,Total Examined,Expanded Enh,Enh Contr %
Puntledge R,Chum,Fall,1996,105,Puntledge R,CM-4,GEORGIA STRAIT,Below Fence,N2,Total Adults,791,791,447.953,56.631
Puntledge R,Chum,Fall,1996,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,2587,2587,101.595,3.927
Puntledge R,Chum,Fall,1996,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B2,Total Adults,5058,5058,2864.418,56.631
Puntledge R,Chum,Fall,1996,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,33922,5822,1332.184,3.927
Puntledge R,Chum,Fall,1997,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,H1,Total Adults,9077,9077,3974.52,43.787
Puntledge R,Chum,Fall,1997,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,100000,6586,14790.135,14.79
Puntledge R,Chum,Fall,1998,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,H1,Total Adults,16514,16514,5182.255,31.381
Puntledge R,Chum,Fall,1998,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,150000,0,18536.553,12.358
Puntledge R,Chum,Fall,1999,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,3494,3494,1714.119,49.059
Puntledge R,Chum,Fall,1999,105,Puntledge R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,1020,1020,500.402,49.059
Puntledge R,Chum,Fall,1999,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,70000,0,12490.24,17.843
Puntledge R,Chum,Fall,2000,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,7900,7106,1689.882,21.391
Puntledge R,Chum,Fall,2000,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,40500,7106,3127.052,7.721
Puntledge R,Chum,Fall,2001,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,6455,6455,583.17,9.034
Puntledge R,Chum,Fall,2001,105,Puntledge R,CM-4,GEORGIA STRAIT,First Nations Rack,S1,Total Adults,3636,3636,328.49,9.034
Puntledge R,Chum,Fall,2001,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,55250,10310,1815.414,3.286
Sliammon R,Chum,Fall,1996,124,Sliammon R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,7745,2071,718.727,9.28
Sliammon R,Chum,Fall,1997,124,Sliammon R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,8503,805,3530.471,41.52
Sliammon R,Chum,Fall,1998,124,Sliammon R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,29732,3142,3599.3,12.106
Sliammon R,Chum,Fall,2004,124,Sliammon R,CM-4,GEORGIA STRAIT,Broodstock,Swim ins,Total Adults,13002,1620,2954.274,22.722
Sliammon R,Chum,Fall,2004,124,Sliammon R,CM-4,GEORGIA STRAIT,River,Channel and river,Total Adults,27399,3419,1289.845,4.708
Snootli Cr,Chum,Summer,1990,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1283,1283,11.999,0.935
Snootli Cr,Chum,Summer,1990,77,Necleetsconnay R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,570,570,63.509,11.142
Snootli Cr,Chum,Summer,1990,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,656,656,278.35,42.431
Snootli Cr,Chum,Summer,1990,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1309,1309,447.036,34.151
Snootli Cr,Chum,Summer,1990,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1281,1281,225.49,17.603
Snootli Cr,Chum,Summer,1990,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,2022,1766,13.987,0.692
Snootli Cr,Chum,Summer,1990,375,Noohalk Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,618,143,307.416,49.744
Snootli Cr,Chum,Summer,1990,77,Necleetsconnay R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,7500,1082,1268.209,16.909
Snootli Cr,Chum,Summer,1990,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,3712,2167,1267.69,34.151
Snootli Cr,Chum,Summer,1990,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,1740,0,220.603,12.678
Snootli Cr,Chum,Summer,1990,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,4586,1717,1347.102,29.374
Snootli Cr,Chum,Summer,1991,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1295,1295,242.769,18.747
Snootli Cr,Chum,Summer,1991,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,685,685,84.701,12.365
Snootli Cr,Chum,Summer,1991,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1143,1143,244.525,21.393
Snootli Cr,Chum,Summer,1991,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1246,1246,188.515,15.13
Snootli Cr,Chum,Summer,1991,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,1305,0,279.181,21.393
Snootli Cr,Chum,Summer,1991,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,1400,0,262.453,18.747
Snootli Cr,Chum,Summer,1991,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,550,0,83.211,15.129
Snootli Cr,Chum,Summer,1991,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,1612,584,199.329,12.365
Snootli Cr,Chum,Summer,1992,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1262,1262,68.906,5.46
Snootli Cr,Chum,Summer,1992,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1372,1372,631.173,46.004
Snootli Cr,Chum,Summer,1992,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1421,1421,96.557,6.795
Snootli Cr,Chum,Summer,1992,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1246,1246,28.077,2.253
Snootli Cr,Chum,Summer,1992,2425,Nooklikonnik Cr,,,River,N1,Total Adults,4629,1288,284.912,6.155
Snootli Cr,Chum,Summer,1992,375,Noohalk Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,905,169,31.257,3.454
Snootli Cr,Chum,Summer,1992,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,10206,3362,4695.168,46.004
Snootli Cr,Chum,Summer,1992,84,Fish Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,2546,1131,123.792,4.862
Snootli Cr,Chum,Summer,1992,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,3543,2807,240.745,6.795
Snootli Cr,Chum,Summer,1992,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,4606,1643,103.789,2.253
Snootli Cr,Chum,Summer,1992,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,1000,0,54.6,5.46
Snootli Cr,Chum,Summer,1992,77,Necleetsconnay R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,6000,404,290.622,4.844
Snootli Cr,Chum,Summer,1993,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1387,1387,24.381,1.758
Snootli Cr,Chum,Summer,1993,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1397,1397,87.323,6.251
Snootli Cr,Chum,Summer,1993,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1457,1457,39.377,2.703
Snootli Cr,Chum,Summer,1993,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1400,1400,498.839,35.631
Snootli Cr,Chum,Summer,1993,77,Necleetsconnay R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,17304,102,629.984,3.641
Snootli Cr,Chum,Summer,1993,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,8340,1850,521.319,6.251
Snootli Cr,Chum,Summer,1993,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,4254,1756,74.778,1.758
Snootli Cr,Chum,Summer,1993,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,6632,1627,179.239,2.703
Snootli Cr,Chum,Summer,1993,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,6662,4132,2373.768,35.631
Snootli Cr,Chum,Summer,1994,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1165,1165,24.906,2.138
Snootli Cr,Chum,Summer,1994,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1218,1218,1.765,0.145
Snootli Cr,Chum,Summer,1994,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1133,1133,29.595,2.612
Snootli Cr,Chum,Summer,1994,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1247,1247,369.169,29.605
Snootli Cr,Chum,Summer,1994,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,10768,5612,3187.808,29.604
Snootli Cr,Chum,Summer,1994,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,5499,1249,143.645,2.612
Snootli Cr,Chum,Summer,1994,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,3410,1592,72.901,2.138
Snootli Cr,Chum,Summer,1994,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,6243,2995,9.047,0.145
Snootli Cr,Chum,Summer,1995,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1064,1064,44.826,4.213
Snootli Cr,Chum,Summer,1995,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B2,Total Adults,1233,1233,22.222,1.802
Snootli Cr,Chum,Summer,1995,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1146,1146,151.58,13.227
Snootli Cr,Chum,Summer,1995,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1021,1021,446.8,43.761
Snootli Cr,Chum,Summer,1995,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,6593,3779,2885.169,43.761
Snootli Cr,Chum,Summer,1995,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,3755,1006,496.674,13.227
Snootli Cr,Chum,Summer,1995,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,2957,0,124.575,4.213
Snootli Cr,Chum,Summer,1995,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,2680,754,48.301,1.802
Snootli Cr,Chum,Summer,1996,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1005,1005,68.658,6.832
Snootli Cr,Chum,Summer,1996,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1049,1049,282.24,26.906
Snootli Cr,Chum,Summer,1996,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,994,994,17.194,1.73
Snootli Cr,Chum,Summer,1996,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,985,985,59.855,6.077
Snootli Cr,Chum,Summer,1996,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,1980,699,120.317,6.077
Snootli Cr,Chum,Summer,1996,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,5696,2153,98.53,1.73
Snootli Cr,Chum,Summer,1996,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,4175,1571,285.223,6.832
Snootli Cr,Chum,Summer,1996,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,12671,6827,3409.214,26.906
Snootli Cr,Chum,Summer,1997,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1098,1098,594.781,54.169
Snootli Cr,Chum,Summer,1997,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1152,1152,608.238,52.798
Snootli Cr,Chum,Summer,1997,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1077,1077,187.339,17.395
Snootli Cr,Chum,Summer,1997,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1118,1118,99.824,8.929
Snootli Cr,Chum,Summer,1997,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,4036,1218,330.78,8.196
Snootli Cr,Chum,Summer,1997,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,8857,4942,3021.174,34.111
Snootli Cr,Chum,Summer,1997,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,5263,1599,2730.014,51.872
Snootli Cr,Chum,Summer,1997,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,3080,1122,514.263,16.697
Snootli Cr,Chum,Summer,1998,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1104,1104,135.761,12.297
Snootli Cr,Chum,Summer,1998,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1040,1040,804.47,77.353
Snootli Cr,Chum,Summer,1998,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1134,1134,123.753,10.913
Snootli Cr,Chum,Summer,1998,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1097,1097,848.874,77.381
Snootli Cr,Chum,Summer,1998,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,27133,10812,8173.031,30.122
Snootli Cr,Chum,Summer,1998,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,7060,2116,586.055,8.301
Snootli Cr,Chum,Summer,1998,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,4300,1403,468.095,10.886
Snootli Cr,Chum,Summer,1998,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,7000,2147,3515.785,50.226
Snootli Cr,Chum,Summer,1999,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,997,997,811.813,81.426
Snootli Cr,Chum,Summer,1999,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1057,1057,672.511,63.625
Snootli Cr,Chum,Summer,1999,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,824,824,98.309,11.931
Snootli Cr,Chum,Summer,1999,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,975,975,214.08,21.957
Snootli Cr,Chum,Summer,1999,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,2105,2105,297.597,14.138
Snootli Cr,Chum,Summer,1999,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,2687,1935,169.07,6.292
Snootli Cr,Chum,Summer,1999,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,4470,1420,3194.993,71.476
Snootli Cr,Chum,Summer,1999,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,5227,1908,1520.793,29.095
Snootli Cr,Chum,Summer,2000,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1002,1002,378.366,37.761
Snootli Cr,Chum,Summer,2000,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,976,976,376.107,38.536
Snootli Cr,Chum,Summer,2000,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,990,990,162.378,16.402
Snootli Cr,Chum,Summer,2000,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,822,822,35.591,4.33
Snootli Cr,Chum,Summer,2000,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,8395,3543,1821.829,21.701
Snootli Cr,Chum,Summer,2000,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N,Total Adults,3590,1212,550.663,15.339
Snootli Cr,Chum,Summer,2000,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,2075,1041,139.85,6.74
Snootli Cr,Chum,Summer,2000,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,6555,1615,2310.709,35.251
Snootli Cr,Chum,Summer,2001,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1014,1014,556.091,54.841
Snootli Cr,Chum,Summer,2001,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1176,1176,415.515,35.333
Snootli Cr,Chum,Summer,2001,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1007,1007,23.436,2.327
Snootli Cr,Chum,Summer,2001,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1084,1084,179.536,16.562
Snootli Cr,Chum,Summer,2001,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,6080,2368,2524.263,41.517
Snootli Cr,Chum,Summer,2001,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,6680,2950,1271.228,19.03
Snootli Cr,Chum,Summer,2001,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,2930,1304,403.405,13.768
Snootli Cr,Chum,Summer,2001,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,3240,1504,50.488,1.558
Snootli Cr,Chum,Summer,2002,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1120,1120,135.335,12.083
Snootli Cr,Chum,Summer,2002,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1014,1014,143.129,14.115
Snootli Cr,Chum,Summer,2002,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1027,1027,376.138,36.625
Snootli Cr,Chum,Summer,2002,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,2053,1307,751.909,36.625
Snootli Cr,Chum,Summer,2002,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,6210,707,898.491,14.468
Snootli Cr,Chum,Summer,2002,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,8905,5183,1402.008,15.744
Snootli Cr,Chum,Summer,2003,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1250,1250,62.963,5.037
Snootli Cr,Chum,Summer,2003,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1163,1163,631.447,54.295
Snootli Cr,Chum,Summer,2003,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1306,1306,684.011,52.375
Snootli Cr,Chum,Summer,2003,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1251,1251,14.027,1.121
Snootli Cr,Chum,Summer,2003,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,35269,15905,9639.065,27.33
Snootli Cr,Chum,Summer,2003,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,7100,1214,1777.386,25.034
Snootli Cr,Chum,Summer,2003,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,6670,1619,57.789,0.866
Snootli Cr,Chum,Summer,2003,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,9340,1460,492.528,5.273
Snootli Cr,Chum,Summer,2004,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1042,1042,794.816,76.278
Snootli Cr,Chum,Summer,2004,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1133,1133,121.565,10.729
Snootli Cr,Chum,Summer,2004,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1197,1197,112.041,9.36
Snootli Cr,Chum,Summer,2004,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1083,1083,693.999,64.081
Snootli Cr,Chum,Summer,2004,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,4550,1289,395.495,8.692
Snootli Cr,Chum,Summer,2004,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,12000,1073,9084.216,75.702
Snootli Cr,Chum,Summer,2004,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,5560,1263,3901.887,70.178
Snootli Cr,Chum,Summer,2004,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,10400,1362,1564.145,15.04
Snootli Cr,Chum,Summer,2005,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1308,1308,57.836,4.422
Snootli Cr,Chum,Summer,2005,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1315,1315,716.002,54.449
Snootli Cr,Chum,Summer,2005,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1227,1227,461.925,37.647
Snootli Cr,Chum,Summer,2005,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1281,1281,240.682,18.789
Snootli Cr,Chum,Summer,2005,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,1150,1150,186.006,16.174
Snootli Cr,Chum,Summer,2005,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,1370,320,379.686,27.714
Snootli Cr,Chum,Summer,2005,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,5100,1574,322.315,6.32
Snootli Cr,Chum,Summer,2005,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,4993,2208,936.875,18.764
Snootli Cr,Chum,Summer,2006,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1162,1162,54.273,4.671
Snootli Cr,Chum,Summer,2006,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1039,1039,513.707,49.442
Snootli Cr,Chum,Summer,2006,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1085,1085,55.652,5.129
Snootli Cr,Chum,Summer,2006,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1087,1087,840.63,77.335
Snootli Cr,Chum,Summer,2006,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,1395,382,261.805,18.767
Snootli Cr,Chum,Summer,2006,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,835,520,428.973,51.374
Snootli Cr,Chum,Summer,2006,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,6165,590,380.13,6.166
Snootli Cr,Chum,Summer,2006,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,3234,3234,1390.536,42.997
Snootli Cr,Chum,Summer,2007,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1157,1157,542.283,46.87
Snootli Cr,Chum,Summer,2007,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1176,1176,466.155,39.639
Snootli Cr,Chum,Summer,2007,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1285,1285,171.146,13.319
Snootli Cr,Chum,Summer,2007,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1190,1190,51.513,4.329
Snootli Cr,Chum,Summer,2007,62,Fish Cr+Airport Ch,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,1000,537,33.931,3.393
Snootli Cr,Chum,Summer,2007,72,Saloompt R,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,1105,271,670.742,60.701
Snootli Cr,Chum,Summer,2007,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,River,N1,Total Adults,4300,1385,266.555,6.199
Snootli Cr,Chum,Summer,2007,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,River,N1,Total Adults,6223,2522,930.148,14.947
Snootli Cr,Chum,Summer,2008,73,Thorsen Cr/CCST,CM-16,BELLA COOLA-DEAN RIVERS,Broodstock,B1,Total Adults,1267,1267,96.581,7.623
Snootli Cr,Chum,Summer,2008,140,Snootli Cr,CM-17,BELLA COOLA RIVER-LATE,Broodstock,B1,Total Adults,1254,1254,482.396,38.469
