PROJ_ID,PROJ_CODE,PROJ_NAME,PROGRAM_CODE,SPECIES_CODE,SPECIES_NAME,RUN_CODE,RUN_NAME,BROOD_YEAR,STOCK_CODE,STOCK_NAME,STOCK_CU_INDEX,STOCK_CU_NAME,STOCK_TYPE_CODE,REARING_TYPE_CODE,FACILITY_CODE,FACILITY_NAME,RELEASE_SITE_CODE,RELEASE_SITE_NAME,PROD_AREA_CODE,STAGE_CODE,RELEASE_STAGE_NAME,RELEASE_CODE,TAG_USE_INDEX,MRP_TAGCODE,RELEASE_YEAR,START_DATE,END_DATE,AVE_LENGTH,AVE_WEIGHT,RELEASE_COMMENT,MARK_TYPE_CODE,RPUR_CODE,SURVIVAL_CODE,EXPLOIT_CODE,MARINE_DIST_CODE,BIOSTND_CODE,TAG_LOSS_RATE,Clip,TotTagged,TotRelease,Age,RLDT_ID,RecovYear,"1Alaskan Net (AK Catch, sampled by Canada)",1Alberni Canal Sport,1Alberni Inlet Commercial Gillnet and EO Fisheries,1BC Unknown Marine,1Bella Coola R FSC,1Central Net General 2009+,1Central Net pre 2009,1Central Net Terminal PFMA 8 2009+,1Central Sport,1Comb_CR: BC Unknown,1Comb_CR: Fraser Gillnet & Georgia Str Net,1Comb_CR: Georgia Str & SW Vcr Is Troll,"1Comb_CR: Georgia Str, N & S Central Troll",1Comb_CR: Johnstone Str & Georgia Str Net,1Comb_CR: Johnstone Strait & Central Net,1Comb_CR: North & South Central Troll,1Comb_CR: Northern & Central Net,"1Comb_CR: Northern, N & S Central Troll",1Comb_CR: NW & SW Vancouver Is Troll,1Comb_CR: NW & SW Vcr Is & WA/OR Troll,"1Comb_CR: NW Vcr Is, N & S Central Troll",1Fraser FN Fall Winter Below Harrison (2011+),1Fraser FN Fall Winter Harrison to Thompson R (2011+),1Fraser Gillnet & FN Fall Winter Below Harrison (1990+),1Fraser Gillnet & FN Spring Summer (1990+),1Fraser Gillnet (pre 1990 and 2008+),1Fraser Seine,1Freshwater Sport,1Georgia Strait Net,1Georgia Strait Sport Central,1Georgia Strait Sport North,1Georgia Strait Sport South,1Georgia Strait Troll,1Johnstone Strait Net,1Johnstone Strait Sport South,1Juan De Fuca Net,1Juan de Fuca Sport,1Juan De Fuca Troll,1North Central Troll,1North WCVI Taaq-wiihak Fishery,1Northern Net,1Northern Sport,1Northern Troll,1Northwest Vancouver Is Net,1Northwest Vancouver Is Troll,1Nuu-chah-nulth Aboriginal Fishery,1Skeena Test Fishery,1South Central Troll,1South WCVI Taaq-wiihak Fishery,1Southwest Vancouver Is Net,1Southwest Vancouver Is Net (Exc Alberni Inlet),1Southwest Vancouver Is Troll,"1WA Net (WA Catch, sampled by Canada)",1WA/OR Troll (Historical),1West Coast Vancouver Is Sport,2Alaska Dept of Fish and Game (AK),2California Dept of Fish and Game (CA),2National Marine Fisheries Service (AK),2Oregon Dept of Fish and Wildlife (OR),2Quinault Dept of Natural Resource (WA),2Washington Dept of Fisheries and Wildlife (WA),3Hatchery Removals,3Natural Spawners,3Rack First Nations,3Rack Tendered,3Terminal First Nations,3Terminal Other,CDNCatch,USCatch,TotCatch,Escape,TotCatch+Esc
69,182,Alouette R,DPI,115,Coho,3,Fall,1997,302,Alouette R S,CO-47,LOWER FRASER,M,H,302,"Alouette River, South H",302,Alouette R S,LWFR,S,Smolt 1+,183317,0,183317,1999,19990512,19990515,0,23,,CWT,P,C,N,Y,N,,AD Clip,9818,9818,2,15097,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29,0,7.29,0,7.29
69,182,Alouette R,DPI,115,Coho,3,Fall,1997,302,Alouette R S,CO-47,LOWER FRASER,M,H,302,"Alouette River, South H",302,Alouette R S,LWFR,S,Smolt 1+,183317,0,183317,1999,19990512,19990515,0,23,,CWT,P,C,N,Y,N,,AD Clip,9818,9818,3,15097,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18,,,,,,,0,12.18,12.18,0,12.18
69,182,Alouette R,DPI,115,Coho,3,Fall,1999,302,Alouette R S,CO-47,LOWER FRASER,M,H,302,"Alouette River, South H",302,Alouette R S,LWFR,S,Smolt 1+,183659,0,183659,2001,20010517,20010529,0,21.2,,CWT,P,C,N,Y,N,,AD Clip,9046,23553,3,15116,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,16.77,,,,,,,2.6,16.77,19.37,0,19.37
69,182,Alouette R,DPI,115,Coho,3,Fall,1999,302,Alouette R S,CO-47,LOWER FRASER,M,H,302,"Alouette River, South H",302,Alouette R S,LWFR,S,Smolt 1+,183660,0,183660,2001,20010517,20010529,0,21.2,,CWT,P,C,N,Y,N,,AD Clip,9099,23690,3,15117,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33,,,,,,,0,11.33,11.33,0,11.33
69,182,Alouette R,DPI,115,Coho,3,Fall,1999,302,Alouette R S,CO-47,LOWER FRASER,M,H,302,"Alouette River, South H",302,Alouette R S,LWFR,S,Smolt 1+,183661,0,183661,2001,20010517,20010529,0,21.2,,CWT,P,C,N,Y,N,,AD Clip,9102,23698,3,15118,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.15,,,,,,,0,28.15,28.15,0,28.15
105,283,Anderson Cr/GSMN,DPI,115,Coho,3,Fall,1989,283,Anderson Cr/Pender Hb,CO-11,GEORGIA STRAIT MAINLAND,M,H,283,Anderson Creek H,283,Anderson Cr/Pender Hb,GSMN,S,Smolt 1+,026228,0,026228,1991,19910424,19910424,0,18.8,COMBINE WITH 2-62-29 & 2-62-30 FOR SUNSHINE COAST,CWT,P,C,N,Y,N,0.029998,AD Clip,7728,7967,2,21114,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,0,4.4,0,4.4
105,283,Anderson Cr/GSMN,DPI,115,Coho,3,Fall,1989,283,Anderson Cr/Pender Hb,CO-11,GEORGIA STRAIT MAINLAND,M,H,283,Anderson Creek H,283,Anderson Cr/Pender Hb,GSMN,S,Smolt 1+,026228,0,026228,1991,19910424,19910424,0,18.8,COMBINE WITH 2-62-29 & 2-62-30 FOR SUNSHINE COAST,CWT,P,C,N,Y,N,0.029998,AD Clip,7728,7967,3,21114,1992,,,,,,,8.23,,6.4,,,,,,,,,,,,,,,,1.03,,,,,,47.11,21.64,19.91,,,,,,,,,,2.99,,7.11,,,2.52,,2.9,,10.34,,,,3.65,,,,,,,,,,,,130.18,3.65,133.83,0,133.83
105,283,Anderson Cr/GSMN,DPI,115,Coho,3,Fall,1990,283,Anderson Cr/Pender Hb,CO-11,GEORGIA STRAIT MAINLAND,M,H,283,Anderson Creek H,283,Anderson Cr/Pender Hb,GSMN,S,Smolt 1+,021126,0,021126,1992,19920322,19920322,0,15.5,COMBINE WITH 2-11-24 & 2-11-25,CWT,B,C,N,Y,N,,AD Clip,9972,9972,3,21115,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,20.31,,,,,,,,,,2.93,,6.46,,,,,,,2.91,,,,12.63,,,,,,,,,,,,93.71,12.63,106.34,0,106.34
105,283,Anderson Cr/GSMN,DPI,115,Coho,3,Fall,1991,283,Anderson Cr/Pender Hb,CO-11,GEORGIA STRAIT MAINLAND,M,H,3229,Fisherman's Cove Seapen,3229,Fisherman's Cv,GSMN,S,Seapen 1+,021352,0,021352,1993,19930625,19930625,0,0,,CWT,B,C,N,Y,N,,AD Clip,9500,9500,3,21117,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.94,,15.99,,,16.26,,,,,,,,,7.16,,,,,1.41,,12.82,,,17.57,,,,,,,,,,,,,114.15,0,114.15,0,114.15
105,283,Anderson Cr/GSMN,DPI,115,Coho,3,Fall,1992,283,Anderson Cr/Pender Hb,CO-11,GEORGIA STRAIT MAINLAND,M,H,3229,Fisherman's Cove Seapen,3229,Fisherman's Cv,GSMN,S,Seapen 1+,180619,0,180619,1994,19940515,19940515,0,23, # MARKED IS AN ESTIMATE,CWT,B,C,N,Y,N,,AD Clip,10000,10000,3,21118,1995,,,,,,,,,5.93,,,,,,,,,,,,,,,,,,,,,,6.74,,,,,12.39,29.58,,,,,,3.42,,69.06,,,,,,,284.33,,,45.73,,,,,,16.19,,,,,,,457.18,16.19,473.37,0,473.37
