year,region,type,fishery,CWT_catch
1988,CCST,Commercial,Troll,1148.18
1988,ISC,Commercial,Net,38830.11
1988,ISC,Rec,Rec,354277.35
1988,ISC,Commercial,Troll,109704.2
1988,NCST,Commercial,Net,1209.93
1988,NCST,Other,Other,98.08
1988,NCST,Rec,Rec,7926.01
1988,NCST,Commercial,Troll,7091.66
1988,WCVI,Commercial,Net,4228.36
1988,WCVI,Rec,Rec,8179.95
1988,WCVI,Commercial,Troll,95354.2
1989,CCST,Commercial,Net,931.71
1989,CCST,Rec,Rec,195.24
1989,CCST,Commercial,Troll,1496
1989,ISC,Commercial,Net,32391.829999999998
1989,ISC,Other,Other,308.54
1989,ISC,Rec,Rec,172674.95
1989,ISC,Commercial,Troll,34016.62
1989,NCST,Commercial,Net,2446.29
1989,NCST,Rec,Rec,1743.08
1989,NCST,Commercial,Troll,7639.92
1989,WCVI,Commercial,Net,42630.34
1989,WCVI,Rec,Rec,14225.84
1989,WCVI,Commercial,Troll,150735.89
1990,CCST,Commercial,Net,4247.61
1990,CCST,Rec,Rec,701.59
1990,CCST,Commercial,Troll,3686.97
1990,ISC,Commercial,Net,29694.75
1990,ISC,Rec,Rec,168359.42
1990,ISC,Commercial,Troll,66858.05
1990,NCST,Commercial,Net,5087.08
1990,NCST,Rec,Rec,1573.48
1990,NCST,Commercial,Troll,18998.8
1990,WCVI,Commercial,Net,14015.49
1990,WCVI,Rec,Rec,18032
1990,WCVI,Commercial,Troll,126714.34
1991,CCST,Commercial,Net,2275.9900000000002
1991,CCST,Rec,Rec,558.99
1991,CCST,Commercial,Troll,5069.6
1991,ISC,Commercial,Net,20136.38
1991,ISC,Other,Other,471.27
1991,ISC,Rec,Rec,35760.58
1991,ISC,Commercial,Troll,4598.73
1991,NCST,Commercial,Net,5172.78
1991,NCST,Rec,Rec,829.83
1991,NCST,Commercial,Troll,22827.63
1991,WCVI,Commercial,Net,24898.99
1991,WCVI,Rec,Rec,13853.45
1991,WCVI,Commercial,Troll,232520.37
1992,CCST,Commercial,Net,4916.74
1992,CCST,Rec,Rec,1409.66
1992,CCST,Commercial,Troll,4394.23
1992,ISC,Commercial,Net,22365.86
1992,ISC,Rec,Rec,160560.11
1992,ISC,Commercial,Troll,58101.54
1992,NCST,Commercial,Net,7223.27
1992,NCST,Other,Other,314.40999999999997
1992,NCST,Rec,Rec,3050.58
1992,NCST,Commercial,Troll,26428.14
1992,WCVI,Commercial,Net,9759.9
1992,WCVI,Rec,Rec,18275.8
1992,WCVI,Commercial,Troll,158796.49
1993,CCST,Commercial,Net,1377.21
1993,CCST,Rec,Rec,574.65
1993,CCST,Commercial,Troll,839.22
1993,ISC,Commercial,Net,14924.61
1993,ISC,Rec,Rec,204075.42
1993,ISC,Commercial,Troll,77629.19
1993,NCST,Commercial,Net,5227.58
1993,NCST,Other,Other,220.39
1993,NCST,Rec,Rec,2183.93
1993,NCST,Commercial,Troll,14817.69
1993,WCVI,Commercial,Net,802.32
1993,WCVI,Rec,Rec,4317.08
1993,WCVI,Commercial,Troll,68349.91
1994,CCST,Commercial,Net,4118.7
1994,CCST,Rec,Rec,499.46999999999997
1994,CCST,Commercial,Troll,417.91
1994,ISC,Commercial,Net,5390.7300000000005
1994,ISC,Other,Other,242.27
1994,ISC,Rec,Rec,71036.53
1994,ISC,Commercial,Troll,13390.78
1994,NCST,Commercial,Net,4529.12
1994,NCST,Other,Other,499.28
1994,NCST,Rec,Rec,2583.37
1994,NCST,Commercial,Troll,17554.58
1994,WCVI,Commercial,Net,16511.579999999998
1994,WCVI,Rec,Rec,14872.68
1994,WCVI,Commercial,Troll,163098.74
1995,CCST,Commercial,Net,4603.6
1995,CCST,Rec,Rec,389.22999999999996
1995,CCST,Commercial,Troll,276.42
1995,ISC,Commercial,Net,3340.92
1995,ISC,Rec,Rec,9638.01
1995,ISC,Commercial,Troll,530.0600000000001
1995,NCST,Commercial,Net,2872.14
1995,NCST,Rec,Rec,651.67
1995,NCST,Commercial,Troll,6887.82
1995,WCVI,Commercial,Net,5124.23
1995,WCVI,Rec,Rec,13540.03
1995,WCVI,Commercial,Troll,125893.09999999999
1996,CCST,Commercial,Net,5252.93
1996,CCST,Rec,Rec,974.1
1996,CCST,Commercial,Troll,207.41
1996,ISC,Commercial,Net,1775.1200000000001
1996,ISC,Rec,Rec,18517.5
1996,NCST,Commercial,Net,2900.58
1996,NCST,Other,Other,273.03000000000003
1996,NCST,Rec,Rec,1285.1599999999999
1996,NCST,Commercial,Troll,5640.44
1996,WCVI,Commercial,Net,288.66
1996,WCVI,Rec,Rec,17922.56
1996,WCVI,Commercial,Troll,101703.52
1997,CCST,Commercial,Net,2294.55
1997,CCST,Rec,Rec,730.85
1997,CCST,Commercial,Troll,170.8
1997,ISC,Commercial,Net,1932.21
1997,ISC,Rec,Rec,14073.81
1997,ISC,Commercial,Troll,68.47
1997,NCST,Commercial,Net,1986.82
1997,NCST,Other,Other,6.26
1997,NCST,Rec,Rec,402.89
1997,NCST,Commercial,Troll,2881.32
1997,WCVI,Commercial,Net,149.8
1997,WCVI,Rec,Rec,16294.21
1997,WCVI,Commercial,Troll,39.07
1998,CCST,Commercial,Net,77.66000000000001
1998,CCST,Rec,Rec,7.3
1998,ISC,Commercial,Net,107.24
1998,ISC,Rec,Rec,1997.2
1998,ISC,Commercial,Troll,3.63
1998,NCST,Rec,Rec,33.65
1998,WCVI,Rec,Rec,87.3
1999,CCST,Commercial,Net,203.56
1999,CCST,Rec,Rec,844.54
1999,ISC,Commercial,Net,3.84
1999,ISC,Rec,Rec,9477.92
1999,ISC,Commercial,Troll,1.2
1999,NCST,Commercial,Net,168.54000000000002
1999,NCST,Rec,Rec,57.99
1999,WCVI,Rec,Rec,202.84
2000,CCST,Commercial,Net,140.4
2000,CCST,Rec,Rec,64.46000000000001
2000,ISC,Commercial,Net,62.63
2000,ISC,Rec,Rec,173842.93
2000,ISC,Commercial,Troll,1.82
2000,NCST,Commercial,Net,35.730000000000004
2000,NCST,Rec,Rec,17.07
2000,WCVI,Commercial,Net,4.04
2000,WCVI,Rec,Rec,4862.29
2001,CCST,Commercial,Net,212.5
2001,CCST,Rec,Rec,15.61
2001,ISC,Commercial,Net,41.81999999999999
2001,ISC,Rec,Rec,35598.88
2001,NCST,Commercial,Net,8.84
2001,NCST,Rec,Rec,299.90000000000003
2001,NCST,Commercial,Troll,27.82
2001,WCVI,Commercial,Net,51.099999999999994
2001,WCVI,Rec,Rec,35033.19
2002,CCST,Commercial,Net,109.83
2002,CCST,Rec,Rec,46.19
2002,CCST,Commercial,Troll,136.37
2002,ISC,Commercial,Net,165.86
2002,ISC,Rec,Rec,13725.69
2002,NCST,Rec,Rec,119.50999999999999
2002,NCST,Commercial,Troll,393.24
2002,WCVI,Rec,Rec,6101.33
2003,CCST,Commercial,Net,947.94
