prod_area,obj,median_CPT,min,max
CCST,Harvest,8.376276324772594,1.5133225379066686,35.15347624825851
CCST,Unknown,12.192307136048813,3.2263298807366745,23.60146415498616
ISC,Harvest,1.479686483494159,0,68.066040149409
ISC,Rebuilding,0.5407030200155599,0,15.089071536158581
ISC,Conservation,1.2108102150756248,0,6.662872977386313
ISC,Stewardship & Education,1.0585096258944153,0,4.28227808814401
ISC,Unknown,0.74560225594199,0,15.995636998254799
NCST,Assessment,16.643896304341613,0,50.27051811095828
NCST,Harvest,5.491102245910324,2.5549600875498903,19.395275073354334
NCST,Stewardship & Education,7.680436373312046,0,27.921462423832093
NCST,Unknown,5.544839717403644,0,23.359141298609888
WCVI,Harvest,8.389004907883365,0,67.18864051094891
WCVI,Stewardship & Education,2.0636918916398566,0,6.090680100755668
