year,region,type,fishery,CWT_catch,tot_catch
1986,NCST,Commercial,Net,2227.89,212581
1986,NCST,Rec,Rec,94.44,NA
1986,NCST,Commercial,Troll,12037.62,1089552
1986,WCVI,Commercial,Net,13986.8,213102
1986,WCVI,Rec,Rec,7831.24,33947
1986,WCVI,Commercial,Troll,143064.26,2159656
1987,CCST,Commercial,Net,1128.28,93244
1987,CCST,Rec,Rec,135.38,NA
1987,CCST,Commercial,Troll,2747.01,87777
1987,ISC,Commercial,Net,27320.05,81256
1987,ISC,Rec,Rec,266486.75,587715
1987,ISC,Commercial,Troll,112742.02,344231
1987,NCST,Commercial,Net,2055.6,100354
1987,NCST,Other,Other,83.53999999999999,NA
1987,NCST,Rec,Rec,1398.71,NA
1987,NCST,Commercial,Troll,10599.62,595555
1987,WCVI,Commercial,Net,18424.14,223643
1987,WCVI,Rec,Rec,15991.16,80691
1987,WCVI,Commercial,Troll,148623.66,1821459
1988,CCST,Commercial,Net,2537.06,107864
1988,CCST,Rec,Rec,85.9,NA
1988,CCST,Commercial,Troll,1148.18,44728
1988,ISC,Commercial,Net,38830.11,117672
1988,ISC,Rec,Rec,354277.35,990896
1988,ISC,Commercial,Troll,109704.2,395652
1988,NCST,Commercial,Net,1209.93,61610
1988,NCST,Other,Other,98.08,NA
1988,NCST,Rec,Rec,7926.01,NA
1988,NCST,Commercial,Troll,7091.66,347989
1988,WCVI,Commercial,Net,4228.36,67689
1988,WCVI,Rec,Rec,8179.95,62354
1988,WCVI,Commercial,Troll,95354.2,1596025
1989,CCST,Commercial,Net,931.71,28822
1989,CCST,Rec,Rec,195.24,NA
1989,CCST,Commercial,Troll,1496,36913
1989,ISC,Commercial,Net,32391.829999999998,131088
1989,ISC,Other,Other,308.54,NA
1989,ISC,Rec,Rec,172674.95,497226
1989,ISC,Commercial,Troll,34016.62,159540
1989,NCST,Commercial,Net,2446.29,161238
1989,NCST,Rec,Rec,1743.08,NA
1989,NCST,Commercial,Troll,7639.92,573308
1989,WCVI,Commercial,Net,42630.34,381745
1989,WCVI,Rec,Rec,14225.84,45268
1989,WCVI,Commercial,Troll,150735.89,1952212
1990,CCST,Commercial,Net,4247.61,153322
1990,CCST,Rec,Rec,701.59,NA
1990,CCST,Commercial,Troll,3686.97,118332
1990,ISC,Commercial,Net,29694.75,127329
1990,ISC,Rec,Rec,168359.42,565820
1990,ISC,Commercial,Troll,66858.05,306117
1990,NCST,Commercial,Net,5087.08,163586
1990,NCST,Rec,Rec,1573.48,NA
1990,NCST,Commercial,Troll,18998.8,974674
1990,WCVI,Commercial,Net,14015.49,156841
1990,WCVI,Rec,Rec,18032,80905
1990,WCVI,Commercial,Troll,126714.34,1864567
1991,CCST,Commercial,Net,2275.9900000000002,47654
1991,CCST,Rec,Rec,558.99,NA
1991,CCST,Commercial,Troll,5069.6,70065
1991,ISC,Commercial,Net,20136.38,87537
1991,ISC,Other,Other,471.27,NA
1991,ISC,Rec,Rec,35760.58,53860
1991,ISC,Commercial,Troll,4598.73,47132
1991,NCST,Commercial,Net,5172.78,196107
1991,NCST,Rec,Rec,829.83,NA
1991,NCST,Commercial,Troll,22827.63,981934
1991,WCVI,Commercial,Net,24898.99,185617
1991,WCVI,Rec,Rec,13853.45,152950
1991,WCVI,Commercial,Troll,232520.37,1889690
1992,CCST,Commercial,Net,4916.74,67482
1992,CCST,Rec,Rec,1409.66,NA
1992,CCST,Commercial,Troll,4394.23,83677
1992,ISC,Commercial,Net,22365.86,88705
1992,ISC,Rec,Rec,160560.11,483972
1992,ISC,Commercial,Troll,58101.54,291359
1992,NCST,Commercial,Net,7223.27,122010
1992,NCST,Other,Other,314.40999999999997,NA
1992,NCST,Rec,Rec,3050.58,NA
1992,NCST,Commercial,Troll,26428.14,515869
1992,WCVI,Commercial,Net,9759.9,115712
1992,WCVI,Rec,Rec,18275.8,147443
1992,WCVI,Commercial,Troll,158796.49,1671621
1993,CCST,Commercial,Net,1377.21,37829
1993,CCST,Rec,Rec,574.65,NA
1993,CCST,Commercial,Troll,839.22,17185
1993,ISC,Commercial,Net,14924.61,68384
1993,ISC,Rec,Rec,204075.42,739548
1993,ISC,Commercial,Troll,77629.19,331315
1993,NCST,Commercial,Net,5227.58,134375
1993,NCST,Other,Other,220.39,NA
1993,NCST,Rec,Rec,2183.93,NA
1993,NCST,Commercial,Troll,14817.69,336955
1993,WCVI,Commercial,Net,802.32,9663
1993,WCVI,Rec,Rec,4317.08,113505
1993,WCVI,Commercial,Troll,68349.91,953738
1994,CCST,Commercial,Net,4118.7,94234
1994,CCST,Rec,Rec,499.46999999999997,NA
1994,CCST,Commercial,Troll,417.91,26791
1994,ISC,Commercial,Net,5390.7300000000005,43808
1994,ISC,Other,Other,242.27,NA
1994,ISC,Rec,Rec,71036.53,178520
1994,ISC,Commercial,Troll,13390.78,81475
1994,NCST,Commercial,Net,4529.12,174387
1994,NCST,Other,Other,499.28,NA
1994,NCST,Rec,Rec,2583.37,NA
1994,NCST,Commercial,Troll,17554.58,739781
1994,WCVI,Commercial,Net,16511.579999999998,135774
1994,WCVI,Rec,Rec,14872.68,130042
1994,WCVI,Commercial,Troll,163098.74,1251744
1995,CCST,Commercial,Net,4603.6,31196
1995,CCST,Rec,Rec,389.22999999999996,NA
1995,CCST,Commercial,Troll,276.42,13331
1995,ISC,Commercial,Net,3340.92,18674
1995,ISC,Rec,Rec,9638.01,17810
1995,ISC,Commercial,Troll,530.0600000000001,5532
1995,NCST,Commercial,Net,2872.14,111549
1995,NCST,Rec,Rec,651.67,NA
1995,NCST,Commercial,Troll,6887.82,296871
1995,WCVI,Commercial,Net,5124.23,39718
1995,WCVI,Rec,Rec,13540.03,109906
1995,WCVI,Commercial,Troll,125893.09999999999,1353853
1996,CCST,Commercial,Net,5252.93,36059
1996,CCST,Rec,Rec,974.1,NA
