stat_area,project,stock,year,species,run,stage,obj,target_no
29F,Deadman R,Deadman R,2014,Coho,Fall,Smolt 1+,Conservation,15000
29J,Thompson R N,Dunn Cr,2014,Coho,Fall,Smolt 1+,Stewardship,20000
29K,Kingfisher Cr/TOMF,Shuswap R Low,2014,Chinook,Summer,Fry,Stewardship,50000
29F,Gates Sp Ch,Gates Cr,2014,Sockeye,Summer,Fry,Harvest,13500000
29G,Horsefly Sp Ch,Horsefly Ch,2014,Sockeye,Summer,Fry,Harvest,22500000
29I,Nadina Sp Ch,Nadina R,2014,Sockeye,Summer,Fry,Harvest,22500000
29K,Shuswap R,Shuswap R Low,2014,Chinook,Summer,Smolt 0+,Assessment,530000
29K,Shuswap R,Shuswap R Middle,2014,Chinook,Summer,Smolt 0+,Assessment,170000
29K,Shuswap R,Shuswap R Middle,2014,Chinook,Summer,Smolt 1+,Rebuilding,20000
29F,Spius Cr,Coldwater R,2014,Chinook,Spring,Fry,Rebuilding,30000
29F,Spius Cr,Coldwater R,2014,Chinook,Spring,Smolt 1+,Rebuilding,65000
29F,Spius Cr,Nicola R,2014,Chinook,Spring,Fry,Assessment/Rebuilding,50000
29F,Spius Cr,Nicola R,2014,Chinook,Spring,Smolt 1+,Assessment/Rebuilding,200000
29K,Spius Cr,Salmon R/TOMF,2014,Chinook,Spring,Fry,Rebuilding,70000
29F,Spius Cr,Spius Cr,2014,Chinook,Spring,Fry,Rebuilding,30000
29F,Spius Cr,Spius Cr,2014,Chinook,Spring,Smolt 1+,Rebuilding,65000
29G,Spius Cr,Chilko R,2014,Chinook,Summer,Fry,Assessment/Rebuilding,50000
29F,Spius Cr,Coldwater R,2014,Coho,Fall,Fry,Assessment/Conservation,40000
29F,Spius Cr,Coldwater R,2014,Coho,Fall,Smolt 1+,Assessment/Conservation,65000
29F,Spius Cr,Deadman R,2014,Coho,Fall,Fry,Conservation,20000
29K,Spius Cr,Eagle R,2014,Coho,Fall,Fry,Assessment/Conservation,20000
29K,Spius Cr,Eagle R,2014,Coho,Fall,Smolt 1+,Assessment/Conservation,65000
29K,Spius Cr,Salmon R/TOMF,2014,Coho,Fall,Fry,Conservation,30000
29K,Spius Cr,Salmon R/TOMF,2014,Coho,Fall,Smolt 1+,Conservation,65000
7,Emily Lk,Tankeeah R,2014,Sockeye,Summer,Fry,Rebuilding,80000
7,Victor Cr,Lagoon Cr/CCST,2014,Sockeye,Fall,Fry,Rebuilding,65000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Chum,Fall,Fry,Rebuilding,20000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Smolt 1+,Harvest,30000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Fry,Harvest,100000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Fry,Harvest,60000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Fry,Harvest,70000
6,Hartley Bay Cr,Hartley Bay Cr,2014,Coho,Fall,Fry,Harvest,80000
7,Heiltsuk,McLaughlin Bay Cr,2014,Chum,Fall,Seapen,Harvest,1800000
7,Heiltsuk,McLaughlin Bay Cr,2014,Coho,Fall,Seapen,Harvest,43200
7,Kitasoo Cr,Kitasoo Cr,2014,Chum,Fall,Seapen,Harvest,1080000
7,Kitasoo Cr,Kitasoo Cr,2014,Coho,Fall,Fry,Harvest,10000
7,Kitasoo Cr,Kitasoo Cr,2014,Coho,Fall,Seapen,Harvest,43200
1,Masset,Yakoun R,2014,Chinook,Summer,Smolt 0+,Rebuilding,225000
1,Masset,Mamin R,2014,Coho,Fall,Fry,Harvest,36000
1,Masset,Yakoun R,2014,Coho,Fall,Smolt 1+,Harvest,90000
9,Oweekeno,Wannock R,2014,Chum,Fall,Fry,Stewardship,45000
4,Toboggan Cr,Bulkley R Up,2014,Chinook,Spring,Smolt 1+,Rebuilding,43000
4,Toboggan Cr,Toboggan Cr,2014,Coho,Summer,Smolt 1+,Assessment,35000
4,Terrace,Kitsum Abv Canyon,2014,Chinook,Summer,Fry,Assessment,100000
4,Terrace,Kitsum Abv Canyon,2014,Chinook,Summer,Smolt 1+,Assessment,30000
4,Terrace,Kitsum Bel Canyon,2014,Chinook,Summer,Fry,Assessment,100000
4,Terrace,Kitsum Bel Canyon,2014,Chinook,Summer,Smolt 1+,Assessment,30000
4,Fulton R,Fulton Ch #1,2014,Sockeye,Summer,Fry,Harvest,3300000
4,Fulton R,Fulton Ch #2,2014,Sockeye,Summer,Fry,Harvest,87000000
4,Fulton R,Fulton R,2014,Sockeye,Summer,Fry,Harvest,45000000
6,Kitimat R,Hirsch Cr,2014,Chinook,Spring,Smolt 0+,Harvest,200000
6,Kitimat R,Kitimat R,2014,Chinook,Spring,Smolt 0+,Harvest,2000000
6,Kitimat R,Kitimat R,2014,Chum,Summer,Fry,Harvest,1700000
6,Kitimat R,Kitimat R,2014,Chum,Summer,Fry,Rebuilding,20000
6,Kitimat R,Kitimat R,2014,Coho,Fall,Fry,Harvest,100000
6,Kitimat R,Kitimat R,2014,Coho,Fall,Smolt 1+,Harvest,500000
4,Pinkut Cr,Pinkut Ch,2014,Sockeye,Summer,Fry,Harvest,45000000
4,Pinkut Cr,Pinkut Cr,2014,Sockeye,Summer,Fry,Harvest,4500000
8,Snootli Cr,Atnarko R Low,2014,Chinook,Summer,Smolt 0+,Assessment/Harvest,950000
8,Snootli Cr,Atnarko R Up,2014,Chinook,Summer,Smolt 0+,Assessment/Harvest,950000
9,Snootli Cr,Chuckwalla R,2014,Chinook,Summer,Smolt 0+,Rebuilding,65000
9,Snootli Cr,Kilbella R,2014,Chinook,Summer,Seapen,Rebuilding,65000
8,Snootli Cr,Noosgulch R,2014,Chinook,Summer,Smolt 0+,Rebuilding,43000
8,Snootli Cr,Nusatsum R,2014,Chinook,Summer,Smolt 0+,Rebuilding,86000
8,Snootli Cr,Salloomt R,2014,Chinook,Summer,Smolt 0+,Rebuilding,86000
9,Snootli Cr,Wannock R,2014,Chinook,Summer,Seapen,Harvest,225000
9,Snootli Cr,Wannock R,2014,Chinook,Summer,Smolt 0+,Harvest,25000
8,Snootli Cr,Fish Cr+Airport Ch,2014,Chum,Summer,Fry,Harvest,1656000
8,Snootli Cr,Salloomt R,2014,Chum,Summer,Fry,Harvest,1656000
8,Snootli Cr,Snootli Cr,2014,Chum,Summer,Fry,Harvest,1656000
8,Snootli Cr,Thorsen Cr/CCST,2014,Chum,Summer,Fry,Harvest,1656000
9,Snootli Cr,Johnston Cr,2014,Coho,Fall,Seapen,Harvest,25000
8,Snootli Cr,Salloomt R,2014,Coho,Fall,Smolt 1+,Harvest,25000
8,Snootli Cr,Thorsen Cr/CCST,2014,Coho,Fall,Smolt 1+,Harvest,25000
8,Snootli Cr,Atnarko R,2014,Pink,Fall,Fry,Rebuilding,450000
8,Snootli Cr,Lonesome Lk,2014,Sockeye,Fall,Fry,Rebuilding,86000
8,Snootli Cr,Atnarko R,2014,Sockeye,Summer,Fry,Rebuilding,86000
23,Huu-ay-aht,Sugsaw Cr,2014,Chum,Fall,Fry,Rebuilding,450000
23,Huu-ay-aht,Pachena R,2014,Coho,Fall,Fry,Rebuilding,20000
24,Clayoquot,Kennedy R Low,2014,Chinook,Fall,Smolt 0+,Rebuilding,380000
24,Clayoquot,Kennedy R Low,2014,Chinook,Fall,Smolt 0+,Rebuilding,100000
18,Cowichan R,Cowichan R,2014,Chinook,Fall,Fry,Assessment/Conservation,150000
18,Cowichan R,Cowichan R,2014,Chinook,Fall,Smolt 0+,Assessment/Conservation,550000
12,Gwa'ni,Nimpkish R Low,2014,Chinook,Fall,Smolt 0+,Rebuilding,112500
12,Gwa'ni,Nimpkish R Low,2014,Chum,Fall,Fry,Rebuilding,9000000
17,Nanaimo R,Chemainus R,2014,Chinook,Fall,Fry,Rebuilding,67500
17,Nanaimo R,Nanaimo R,2014,Chinook,Fall,Fry,Rebuilding,10000
17,Nanaimo R,Nanaimo R,2014,Chinook,Fall,Smolt 0+,Rebuilding,415000
17,Nanaimo R,First Lk/GSVI,2014,Chinook,Summer,Smolt 0+,Rebuilding,225000
17,Nanaimo R,Chemainus R,2014,Chum,Fall,Eyed Egg,Rebuilding,400000
17,Nanaimo R,Nanaimo R,2014,Chum,Fall,Fry,Harvest,900000
17,Nanaimo R,Nanaimo R,2014,Coho,Fall,Fry,Rebuilding,50000
17,Nanaimo R,Nanaimo R,2014,Coho,Fall,Smolt 1+,Rebuilding,84000
17,Nanaimo R,Nanaimo R,2014,Coho,Fall,Fry,Rebuilding,40000
17,Nanaimo R,Nanaimo R,2014,Coho,Fall,Fry,Rebuilding,10000
17,Nanaimo R,Nanaimo R,2014,Pink,Fall,Seapen,Harvest,1080000
17,Nanaimo R,Nanaimo R,2014,Pink,Fall,Fry,Harvest,60000
12,P Hardy/Quatse,Quatse R,2014,Chum,Fall,Fry,Stewardship,100000
12,P Hardy/Quatse,Cluxewe R,2014,Coho,Fall,Fry,Rebuilding,30000
12,P Hardy/Quatse,Cluxewe R,2014,Coho,Fall,Smolt 1+,Harvest,100000
12,P Hardy/Quatse,Quatse R,2014,Coho,Fall,Fry,Rebuilding,15000
12,P Hardy/Quatse,Quatse R,2014,Coho,Fall,Smolt 1+,Harvest,100000
27,P Hardy/Quatse,Waukwaas Cr,2014,Coho,Fall,Fry,Rebuilding,30000
27,P Hardy/Quatse,Waukwaas Cr,2014,Coho,Fall,Smolt 1+,Harvest,100000
12,P Hardy/Quatse,Cluxewe R,2014,Pink,Fall,Fry,Rebuilding,800000
12,P Hardy/Quatse,Quatse R,2014,Pink,Fall,Fry,Harvest,1350000
15,Powell R,Lang Cr,2014,Chinook,Fall,Fry,Harvest,150000
15,Powell R,Lang Cr,2014,Chinook,Fall,Smolt 0+,Harvest,680000
15,Powell R,Lang Cr,2014,Chum,Fall,Fry,Rebuilding,680000
15,Powell R,Lang Cr,2014,Chum,Fall,Fry,Rebuilding,70000
15,Powell R,Lang Cr,2014,Coho,Summer,Fry,Harvest,22500
15,Powell R,Lang Cr,2014,Coho,Summer,Fry,Harvest,215000
20,San Juan R,San Juan R,2014,Chinook,Fall,Seapen,Harvest,40000
20,San Juan R,San Juan R,2014,Chinook,Fall,Smolt 0+,Rebuilding,860000
20,San Juan R,San Juan R,2014,Chum,Fall,Fry,Rebuilding,36000
20,San Juan R,San Juan R,2014,Coho,Fall,Fry,Harvest,165000
16,Sechelt,Wilson Cr/GSMN,2014,Chum,Fall,Seapen,Rebuilding,500000
28,Sechelt,Capilano R,2014,Coho,Fall,Seapen,Stewardship,25000
16,Sechelt,Sechelt Cr,2014,Pink,Fall,Seapen,Harvest,200000
15,Sliammon R,Sliammon R,2014,Chinook,Fall,Smolt 0+,Harvest,100000
15,Sliammon R,Sliammon R,2014,Chum,Fall,Fry,Harvest,2800000
15,Sliammon R,Sliammon R,2014,Coho,Fall,Fry,Rebuilding,60000
23,Thornton Cr,Thornton Cr,2014,Chinook,Fall,Smolt 0+,Harvest,280000
23,Thornton Cr,Toquart R,2014,Chinook,Fall,Smolt 0+,Rebuilding,210000
23,Thornton Cr,Salmon Cr/SWVI,2014,Chum,Fall,Fry,Rebuilding,500000
23,Thornton Cr,Toquart R,2014,Chum,Fall,Fry,Rebuilding,90000
24,Thornton Cr,Twin R E,2014,Chum,Fall,Fry,Rebuilding,50000
23,Thornton Cr,Thornton Cr,2014,Coho,Fall,Fry,Stewardship,10000
29E,Chapman Cr,Chilliwack R,2014,Chinook,Fall,Smolt 0+,Harvest,65000
16,Chapman Cr,Chapman Cr,2014,Chum,Fall,Fry,Rebuilding,500000
16,Chapman Cr,Chapman Cr,2014,Coho,Fall,Smolt 1+,Harvest,50000
16,Chapman Cr,Chapman Cr,2014,Pink,Fall,Fry,Rebuilding,250000
14,Englishman Enh,Englishman R,2014,Chinook,Fall,Fry,Rebuilding,100000
14,Englishman Enh,Englishman R,2014,Pink,Fall,Fry,Harvest,950000
22,Esquimalt Hb,Nitinat R,2014,Chinook,Fall,Smolt 0+,Stewardship,75000
22,Esquimalt Hb,Nitinat R,2014,Chinook,Fall,Seapen,Stewardship,25000
14,Fanny Bay/GSVI,Rosewall Cr,2014,Chum,Fall,Fry,Stewardship,225000
14,Fanny Bay/GSVI,Coal Cr,2014,Coho,Fall,Smolt 1+,Stewardship,10000
14,Fanny Bay/GSVI,Rosewall Cr,2014,Coho,Fall,Smolt 1+,Harvest,100000
14,Fanny Bay/GSVI,Coal Cr,2014,Pink,Fall,Fry,Harvest,900000
13,Gillard Pass,Phillips R,2014,Chinook,Fall,Smolt 0+,Assessment,150000
13,Gillard Pass,Quinsam R,2014,Coho,Fall,Fry,Stewardship,10000
13,Gillard Pass,Quinsam R,2014,Coho,Fall,Fry,Stewardship,12000
19,Goldstream R,Goldstream R,2014,Chinook,Fall,Smolt 0+,Stewardship,240000
19,Goldstream R,Goldstream R,2014,Chum,Fall,Fry,Harvest,675000
19,Goldstream R,Goldstream R,2014,Chum,Fall,Fry,Stewardship,5000
19,Goldstream R,Goldstream R,2014,Chum,Fall,Fry,Stewardship,50000
19,Goldstream R,Goldstream R,2014,Coho,Fall,Smolt 1+,Assessment,150000
17,Halalt Band,Chemainus R,2014,Chum,Fall,Fry,Rebuilding,100000
14,Little R/GSVI,Little R/GSVI,2014,Chum,Fall,Fry,Rebuilding,190000
14,Little R/GSVI,Puntledge R,2014,Chum,Fall,Fry,Stewardship,190000
14,Little R/GSVI,Little R/GSVI,2014,Coho,Fall,Fry,Stewardship,20000
14,Little R/GSVI,Little R/GSVI,2014,Coho,Fall,Smolt 1+,Rebuilding,30000
13,Nile Cr,Quinsam R,2014,Pink,Fall,Seapen,Stewardship,250000
13,Nile Cr,Quinsam R,2014,Pink,Fall,Fry,Harvest,900000
25,Nootka Sd Wshd Soc,Burman R,2014,Chinook,Fall,Seapen,Harvest,350000
25,Nootka Sd Wshd Soc,Gold R,2014,Chinook,Fall,Seapen,Harvest,150000
16,Ouillet Cr,Sakinaw Lk,2014,Sockeye,Summer,Fry,Conservation,225000
14,Oyster R,Oyster R,2014,Chinook,Fall,Smolt 0+,Rebuilding,55000
14,Oyster R,Oyster R,2014,Chum,Fall,Fry,Rebuilding,320000
14,Oyster R,Oyster R,2014,Coho,Fall,Fry,Stewardship,90000
14,Oyster R,Oyster R,2014,Coho,Fall,Smolt 1+,Rebuilding,40000
14,Oyster R,Oyster R,2014,Pink,Fall,Fry,Harvest,2250000
27,P Hardy/Marble,Colonial+Cayeghle,2014,Chinook,Fall,Smolt 0+,Stewardship,32000
27,P Hardy/Marble,Marble R,2014,Chinook,Fall,Smolt 0+,Assessment/Harvest,910000
27,P Hardy/Marble,Marble R,2014,Chinook,Fall,Seapen,Harvest,90000
27,P Hardy/Marble,Colonial+Cayeghle,2014,Coho,Fall,Fry,Stewardship,51000
27,P Hardy/Marble,Marble R,2014,Coho,Fall,Fry,Stewardship,32000
27,P Hardy/Marble,Marble R,2014,Coho,Fall,Smolt 1+,Harvest,130000
27,P Hardy/Marble,Washlawlis R,2014,Coho,Fall,Fry,Stewardship,40000
27,P Hardy/Marble,Washlawlis R,2014,Coho,Fall,Smolt 1+,Harvest,85000
13,Sayward F&G,Salmon R/JNST,2014,Chinook,Fall,Smolt 0+,Rebuilding,120000
20,Sooke R,Sooke R,2014,Chinook,Fall,Smolt 0+,Harvest,225000
20,Sooke R,Demamiel Cr,2014,Coho,Fall,Fry,Stewardship,135000
25,Tahsis R,Leiner R,2014,Chinook,Fall,Seapen,Rebuilding,150000
25,Tahsis R,Tahsis R,2014,Chinook,Fall,Seapen,Rebuilding,150000
24,Tofino,Bedwell R,2014,Chinook,Fall,Smolt 0+,Assessment/Rebuilding,85000
24,Tofino,Bedwell R,2014,Chinook,Fall,Seapen,Assessment/Rebuilding,85000
24,Tofino,Cypre R,2014,Chinook,Fall,Seapen,Rebuilding,60000
24,Tofino,Cypre R,2014,Chinook,Fall,Smolt 0+,Rebuilding,100000
24,Tofino,Tranquil Cr,2014,Chinook,Fall,Smolt 0+,Rebuilding,65000
24,Tofino,Cypre R,2014,Coho,Fall,Fry,Stewardship,55000
24,Tofino,Kootowis Cr,2014,Coho,Fall,Fry,Stewardship,35000
14,Tsolum R,Tsolum R,2014,Pink,Fall,Fry,Rebuilding,900000
23,Barkley Sd Rndtbl S1 Sbct,Robertson Cr,2014,Chinook,Fall,Smolt 1+,Assessment,100000
14,Big Qualicum R,Big Qualicum R,2014,Chinook,Fall,Smolt 0+,Assessment/Harvest,3500000
14,Big Qualicum R,Big Qualicum R,2014,Chum,Fall,Fry,Harvest,49795200
14,Big Qualicum R,Big Qualicum R,2014,Coho,Fall,Smolt 1+,Assessment/Harvest,400000
25,Conuma R,Conuma R,2014,Chinook,Fall,Seapen,Harvest,2700000
25,Conuma R,Gold R,2014,Chinook,Fall,Smolt 0+,Rebuilding,150000
25,Conuma R,Sucwoa R,2014,Chinook,Fall,Seapen,Rebuilding,40000
25,Conuma R,Tlupana R,2014,Chinook,Fall,Seapen,Rebuilding,40000
25,Conuma R,Conuma R,2014,Chum,Fall,Fry,Rebuilding,250000
25,Conuma R,Conuma R,2014,Chum,Fall,Seapen,Rebuilding,1500000
25,Conuma R,Conuma R,2014,Chum,Fall,Fry,Rebuilding,500000
25,Conuma R,Tlupana R,2014,Chum,Fall,Fry,Rebuilding,1000000
25,Conuma R,Conuma R,2014,Coho,Fall,Seapen,Harvest,50000
25,Conuma R,Conuma R,2014,Coho,Fall,Fry,Rebuilding,52000
14,L Qualicum R,L Qualicum R,2014,Chinook,Fall,Smolt 0+,Harvest,2250000
14,L Qualicum R,L Qualicum R,2014,Chum,Fall,Fry,Harvest,37500000
22,Nitinat R,Nitinat R,2014,Chinook,Fall,Seapen,Harvest,4000000
23,Nitinat R,Sarita R,2014,Chinook,Fall,Smolt 0+,Rebuilding,500000
23,Nitinat R,Sarita R,2014,Chinook,Fall,Smolt 1+,Assessment,10000
22,Nitinat R,Nitinat R,2014,Chum,Fall,Seapen,Harvest,25000000
22,Nitinat R,Nitinat R,2014,Chum,Fall,Fry,Harvest,5000000
22,Nitinat R,Nitinat R,2014,Coho,Fall,Fry,Harvest,12500
22,Nitinat R,Nitinat R,2014,Coho,Fall,Fry,Harvest,25000
22,Nitinat R,Nitinat R,2014,Coho,Fall,Smolt 1+,Assessment,100000
14,Puntledge R,Puntledge R,2014,Chinook,Fall,Smolt 0+,Harvest,1600000
14,Puntledge R,Puntledge R,2014,Chinook,Summer,Fry,Conservation,250000
14,Puntledge R,Puntledge R,2014,Chinook,Summer,Smolt 0+,Assessment/Conservation,1200000
14,Puntledge R,Puntledge R,2014,Chum,Fall,Fry,Harvest,2700000
14,Puntledge R,Puntledge R,2014,Coho,Fall,Fry,Rebuilding,520000
14,Puntledge R,Puntledge R,2014,Coho,Fall,Fry,Rebuilding,280000
14,Puntledge R,Puntledge R,2014,Pink,Fall,Fry,Harvest,2400000
13,Quinsam R,Quinsam R,2014,Chinook,Fall,Seapen,Harvest,800000
13,Quinsam R,Quinsam R,2014,Chinook,Fall,Fry,Harvest,200000
13,Quinsam R,Quinsam R,2014,Chinook,Fall,Smolt 0+,Assessment/Harvest,1900000
13,Quinsam R,Campbell R,2014,Chum,Fall,Fry,Stewardship,100000
13,Quinsam R,Quinsam R,2014,Coho,Fall,Fry,Stewardship,5000
13,Quinsam R,Quinsam R,2014,Coho,Fall,Fry,Stewardship,500
13,Quinsam R,Quinsam R,2014,Coho,Fall,Fry,Rebuilding,170000
13,Quinsam R,Quinsam R,2014,Coho,Fall,Smolt 1+,Assessment/Harvest,400000
13,Quinsam R,Quinsam R,2014,Coho,Fall,Fry,Stewardship,750
13,Quinsam R,Quinsam R,2014,Pink,Fall,Eyed Egg,Rebuilding,90000
13,Quinsam R,Quinsam R,2014,Pink,Fall,Seapen,Harvest,700000
13,Quinsam R,Quinsam R,2014,Pink,Fall,Fry,Harvest,6100000
23,Robertson Cr,Nahmint R,2014,Chinook,Fall,Seapen,Conservation,60000
23,Robertson Cr,Nahmint R,2014,Chinook,Fall,Smolt 0+,Conservation,165000
23,Robertson Cr,Robertson Cr,2014,Chinook,Fall,Seapen,Assessment/Harvest,200000
23,Robertson Cr,Robertson Cr,2014,Chinook,Fall,Smolt 0+,Assessment/Harvest,6100000
23,Robertson Cr,Robertson Cr,2014,Chinook,Fall,Smolt 1+,Assessment,100000
23,Robertson Cr,Robertson Cr,2014,Chinook,Fall,Fry,Rebuilding,100000
23,Robertson Cr,Robertson Cr,2014,Coho,Fall,Smolt 1+,Assessment,200000
16,Rosewall Cr,Sakinaw Lk,2014,Sockeye,Summer,Fry,Conservation,600000
29C,Seymour R,Alouette R S,2014,Chum,Fall,Fry,Rebuilding,20000
29C,Seymour R,Alouette R S,2014,Chum,Fall,Fry,Rebuilding,425000
28,Seymour R,Seymour R/GSMN,2014,Coho,Fall,Smolt 1+,Rebuilding,40000
28,Seymour R,Seymour R/GSMN,2014,Coho,Fall,Fry,Rebuilding,80000
29C,Alouette R,Alouette R S,2014,Chinook,Fall,Smolt 0+,Harvest,25000
29E,Alouette R,Chilliwack R,2014,Chinook,Fall,Smolt 0+,Harvest,75000
29E,Alouette R,Chilliwack R,2014,Chinook,Fall,Smolt 0+,Harvest,50000
29C,Alouette R,Alouette R S,2014,Chum,Fall,Fry,Rebuilding,400000
29C,Alouette R,Alouette R S,2014,Coho,Fall,Fry,Stewardship,45000
29C,Alouette R,Alouette R S,2014,Coho,Fall,Smolt 1+,Harvest,25000
29C,Kanaka Cr,Kanaka Cr,2014,Chum,Fall,Fry,Rebuilding,150000
29C,Kanaka Cr,Kanaka Cr,2014,Chum,Fall,Fry,Rebuilding,25000
29C,Kanaka Cr,Kanaka Cr,2014,Chum,Fall,Fry,Rebuilding,5000
29C,Kanaka Cr,Kanaka Cr,2014,Chum,Fall,Fry,Rebuilding,40000
29C,Kanaka Cr,Kanaka Cr,2014,Coho,Fall,Smolt 1+,Stewardship,10000
29C,Kanaka Cr,Kanaka Cr,2014,Coho,Fall,Smolt 1+,Rebuilding,4000
29C,Kanaka Cr,Kanaka Cr,2014,Coho,Fall,Smolt 1+,Harvest,15000
29C,Kanaka Cr,Kanaka Cr,2014,Coho,Fall,Smolt 1+,Rebuilding,1000
29B,L Campbell R,L Campbell R,2014,Chinook,Fall,Smolt 0+,Harvest,50000
29B,L Campbell R,L Campbell R,2014,Coho,Fall,Fry,Stewardship,5000
29B,L Campbell R,L Campbell R,2014,Coho,Fall,Fry,Stewardship,10000
29B,Nicomekl R,Nicomekl R,2014,Chinook,Fall,Smolt 0+,Stewardship,45000
29B,Nicomekl R,Nicomekl R,2014,Chum,Fall,Fry,Rebuilding,150000
29B,Nicomekl R,Nicomekl R,2014,Coho,Fall,Fry,Stewardship,40000
29B,Serpentine R,Serpentine R,2014,Chinook,Fall,Smolt 0+,Stewardship,100000
29B,Serpentine R,Serpentine R,2014,Chum,Fall,Fry,Stewardship,65000
29B,Serpentine R,Serpentine R,2014,Coho,Fall,Fry,Stewardship,75000
29E,Capilano R,Chilliwack R,2014,Chinook,Fall,Seapen,Harvest,100000
29E,Capilano R,Chilliwack R,2014,Chinook,Fall,Smolt 0+,Harvest,460000
28,Capilano R,Capilano R,2014,Chum,Fall,Fry,Harvest,90000
28,Capilano R,Capilano R,2014,Coho,Fall,Smolt 1+,Harvest,475000
28,Capilano R,Capilano R,2014,Coho,Fall,Fry,Rebuilding,3000
29D,Chehalis R,Harrison R,2014,Chinook,Fall,Smolt 0+,Assessment,300000
29D,Chehalis R,Chehalis R,2014,Chinook,Summer,Smolt 0+,Harvest,130000
29D,Chehalis R,Chehalis R,2014,Chinook,Summer,Smolt 1+,Harvest,100000
29G,Chehalis R,Chilko R,2014,Chinook,Summer,Smolt 1+,Assessment/Rebuilding,100000
29D,Chehalis R,Chehalis R,2014,Chum,Fall,Fry,Harvest,3000000
29D,Chehalis R,Chehalis R,2014,Chum,Fall,Fry,Stewardship,150000
29D,Chehalis R,Chehalis R,2014,Chum,Fall,Fry,Stewardship,100000
29D,Chehalis R,Chehalis R,2014,Chum,Fall,Fry,Stewardship,25000
29D,Chehalis R,Harrison Sl,2014,Chum,Fall,Fry,Rebuilding,500000
29D,Chehalis R,Chehalis R,2014,Coho,Fall,Smolt 1+,Harvest,400000
29E,Chilliwack R,Chilliwack R,2014,Chinook,Fall,Smolt 0+,Assessment/Harvest,1000000
29E,Chilliwack R,Chilliwack R,2014,Chinook,Spring,Smolt 0+,Rebuilding,50000
29E,Chilliwack R,Chilliwack R,2014,Chinook,Summer,Smolt 0+,Harvest,500000
29E,Chilliwack R,Chilliwack R,2014,Chum,Fall,Fry,Rebuilding,200000
29E,Chilliwack R,Chilliwack R,2014,Chum,Fall,Fry,Rebuilding,1000000
29E,Chilliwack R,Chilliwack R,2014,Coho,Fall,Smolt 1+,Harvest,800000
29E,Chilliwack R,Chilliwack R,2014,Coho,Fall,Fry,Harvest,100000
29D,Inch Cr,Inch Cr,2014,Chum,Fall,Fry,Harvest,750000
29D,Inch Cr,Inch Cr,2014,Chum,Fall,Fry,Harvest,1000000
29D,Inch Cr,Inch Cr,2014,Chum,Fall,Fry,Harvest,400000
29D,Inch Cr,Inch Cr,2014,Chum,Fall,Fry,Harvest,50000
29D,Inch Cr,Inch Cr,2014,Coho,Fall,Smolt 1+,Assessment/Harvest,150000
29B,Inch Cr,L Campbell R,2014,Coho,Fall,Smolt 1+,Harvest,40000
29B,Inch Cr,Nicomekl R,2014,Coho,Fall,Smolt 1+,Harvest,50000
29D,Inch Cr,Norrish Cr,2014,Coho,Fall,Smolt 1+,Harvest,100000
29B,Inch Cr,Serpentine R,2014,Coho,Fall,Smolt 1+,Harvest,50000
29D,Inch Cr,Stave R,2014,Coho,Fall,Smolt 1+,Harvest,1000
29D,Inch Cr,Stave R,2014,Coho,Fall,Smolt 1+,Harvest,75000
29D,Inch Sockeye Satellite,Cultus Lk,2014,Sockeye,Fall,Fry,Conservation,150000
29D,Inch Sockeye Satellite,Cultus Lk,2014,Sockeye,Fall,Fry,Conservation,50000
29D,Inch Sockeye Satellite,Cultus Lk,2014,Sockeye,Fall,Smolt 1+,Conservation,25000
29C,Inch Sockeye Satellite,Pitt R Up,2014,Sockeye,Summer,Fry,Harvest,2000000
28,Tenderfoot Cr,Ashlu Cr,2014,Chinook,Summer,Smolt 1+,Rebuilding,10000
28,Tenderfoot Cr,Cheakamus R,2014,Chinook,Summer,Fry,Rebuilding,80000
28,Tenderfoot Cr,Cheakamus R,2014,Chinook,Summer,Smolt 1+,Rebuilding,40000
28,Tenderfoot Cr,Mamquam R,2014,Chinook,Summer,Smolt 1+,Rebuilding,25000
28,Tenderfoot Cr,Shovelnose Cr,2014,Chinook,Summer,Smolt 1+,Rebuilding,10000
28,Tenderfoot Cr,Squamish R,2014,Chinook,Summer,Smolt 1+,Rebuilding,10000
28,Tenderfoot Cr,Tenderfoot Cr,2014,Chum,Fall,Fry,Rebuilding,100000
28,Tenderfoot Cr,Tenderfoot Cr,2014,Chum,Fall,Fry,Rebuilding,500000
28,Tenderfoot Cr,Tenderfoot Cr,2014,Chum,Fall,Fry,Rebuilding,300000
28,Tenderfoot Cr,Mamquam R,2014,Coho,Fall,Fry,Rebuilding,50000
28,Tenderfoot Cr,Mamquam R,2014,Coho,Fall,Smolt 1+,Harvest,50000
28,Tenderfoot Cr,Tenderfoot Cr,2014,Coho,Fall,Fry,Rebuilding,50000
28,Tenderfoot Cr,Tenderfoot Cr,2014,Coho,Fall,Smolt 1+,Harvest,100000
28,Tenderfoot Cr,Tenderfoot Cr,2014,Coho,Fall,Fry,Rebuilding,200000
