year,region,type,fishery,CWT_catch,tot_catch
1985,NCST,Commercial,Troll,18830.13,186654
1985,WCVI,Commercial,Net,3273.87,66618
1985,WCVI,Rec,Rec,2364.04,39375
1985,WCVI,Commercial,Troll,10450.8,354040
1986,CCST,Commercial,Net,12800.57,55240
1986,CCST,Rec,Rec,799.17,NA
1986,CCST,Commercial,Troll,3704.77,27871
1986,ISC,Commercial,Net,8233.19,57622
1986,ISC,Other,Other,84.63,NA
1986,ISC,Rec,Rec,30902.31,160302
1986,ISC,Commercial,Troll,11846.28,68580
1986,NCST,Commercial,Net,3994.06,42651
1986,NCST,Rec,Rec,626.6999999999999,NA
1986,NCST,Commercial,Troll,8090.18,152958
1986,WCVI,Commercial,Net,1842.8700000000001,65743
1986,WCVI,Rec,Rec,3086.38,34758
1986,WCVI,Commercial,Troll,9633.949999999999,342437
1987,CCST,Commercial,Net,4019.45,21408
1987,CCST,Rec,Rec,1338.48,NA
1987,CCST,Commercial,Troll,3837.23,29354
1987,ISC,Commercial,Net,5014.57,33093
1987,ISC,Rec,Rec,21711.36,103098
1987,ISC,Commercial,Troll,7539.01,73257
1987,NCST,Commercial,Net,4660.83,41227
1987,NCST,Other,Other,12.629999999999999,NA
1987,NCST,Rec,Rec,334.9,NA
1987,NCST,Commercial,Troll,10469.28,177345
1987,WCVI,Commercial,Net,164.17,11866
1987,WCVI,Rec,Rec,7432.57,56273
1987,WCVI,Commercial,Troll,8723.19,378946
1988,CCST,Commercial,Net,5251.84,21834
1988,CCST,Rec,Rec,2419.35,NA
1988,CCST,Commercial,Troll,2641.54,11689
1988,ISC,Commercial,Net,3661.77,20882
1988,ISC,Rec,Rec,19767.82,100882
1988,ISC,Commercial,Troll,3869.9,38982
1988,NCST,Commercial,Net,4583.89,40339
1988,NCST,Other,Other,56.45,NA
1988,NCST,Rec,Rec,1956.78,NA
1988,NCST,Commercial,Troll,12584.37,152350
1988,WCVI,Commercial,Net,8464.24,28407
1988,WCVI,Rec,Rec,17239.16,52991
1988,WCVI,Commercial,Troll,12043.66,408629
1989,CCST,Commercial,Net,1292.66,7422
1989,CCST,Rec,Rec,4652.58,NA
1989,CCST,Commercial,Troll,4538.76,9852
1989,ISC,Commercial,Net,12416.15,59573
1989,ISC,Other,Other,848.43,NA
1989,ISC,Rec,Rec,24656.7,132856
1989,ISC,Commercial,Troll,1756.66,37814
1989,NCST,Commercial,Net,6199.29,48825
1989,NCST,Other,Other,6.85,NA
1989,NCST,Rec,Rec,3324.04,NA
1989,NCST,Commercial,Troll,22819.9,207461
1989,WCVI,Commercial,Net,36459.32,72776
1989,WCVI,Rec,Rec,35912.38,55239
1989,WCVI,Commercial,Troll,9991.960000000001,203884
1990,CCST,Commercial,Net,9510.78,30206
1990,CCST,Rec,Rec,2248.2,NA
1990,CCST,Commercial,Troll,6303.23,15814
